URL;Image;Retailer;Brand;Product Name;Caliber;Price
/p/rws/22-lfb-subsonic-hp-2-6g-40grs/66016?navCategoryId=62821;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p66016_ha_v1.jpg;Frankonia;RWS;.22 lfb. Subsonic HP 2,6g/40grs.;.22 lfb;13,30
/p/rws/22-lfb-rifle-match-s-2-6g-40grs/120092?navCategoryId=62821;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p120092_ha_v1.jpg;Frankonia;RWS;.22 lfb. Rifle Match S 2,6g/40grs.;.22 lfb;8,99
/p/cci/22-lfb-sv-in-hartbox-2-6g-40grs/66194?navCategoryId=62821;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p66194_ha.jpg;Frankonia;CCI;.22 lfb. SV in Hartbox 2,6g/40grs.;.22 lfb;16,99
/p/rws/22-lfb-high-velocity-hp-2-6g-40grs/66029?navCategoryId=62821;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p66029_ha.jpg;Frankonia;RWS;.22 lfb. High Velocity HP 2,6g/40grs.;.22 lfb;14,70
/p/sellier-bellot/22-lfb-subsonic-hp-2-6g-40grs/186202?navCategoryId=62821;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p186202_ha.jpg;Frankonia;Sellier & Bellot;.22 lfb. Subsonic HP 2,6g/40grs.;.22 lfb;8,30
/p/topshot-competition/22-lfb-black-edition-sv-2-6g-40grs/2003815?navCategoryId=62821;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p2003815_ha_v1.jpg;Frankonia;TOPSHOT Competition;.22 lfb. Black Edition SV 2,6g/40grs.;.22 lfb;7,40
/p/rws/22-lfb-target-pistol-2-6g-40grs/66012?navCategoryId=62821;//bilder.frankonia.de/fsicache/server?type=image&width=288&height=288&effects=pad(CC,ffff)&quality=10&source=products/p66012_ha_v1.jpg;Frankonia;RWS;.22 lfb. Target Pistol 2,6g/40grs.;.22 lfb;8,90
/p/topshot-competition/9-mm-luger-vollmantel-8-0-g-124-grs/160513?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=328&height=328&effects=pad(CC,ffff)&quality=40&source=products/p160513_ha_v2.jpg;Frankonia;TOPSHOT Competition;9 mm Luger Vollmantel 8,0 g/124 grs.;9mm Luger;15,80
/p/topshot-competition/357-magnum-teilmantel-flachkopf-10-2g-158grs/160514?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=328&height=328&effects=pad(CC,ffff)&quality=40&source=products/p160514_ha_v1.jpg;Frankonia;TOPSHOT Competition;.357 Magnum Teilmantel Flachkopf 10,2g/158grs.;.357 Magnum;24,70
/p/magtech/45-acp-vollmantel-14-9g-230grs/144815?navCategoryId=63318;//bilder.frankonia.de/fsicache/server?type=image&width=328&height=328&effects=pad(CC,ffff)&quality=40&source=products/p144815_ha_v1.jpg;Frankonia;Magtech;.45 ACP Vollmantel 14,9g/230grs.;.45 ACP;24,70
